67481,Pflegemittelindustrie
67484,Kosmetikindustrie
68393,Ethnie
76380,Leitungsgebundene Nachrichtentechnik
76386,Telefon
76397,Computertechnik
76401,Computernetz
76406,Hardware
76418,Software
68840,Eugenische Euthanasie
68841,Selbsttötung
68862,Historische Hilfswissenschaft
66065,Betriebliche Forschung
66066,Produktionswirtschaft
66078,Absatzwirtschaft
66086,Marketing
66097,Betriebliche Preispolitik
66101,Logistik
66110,Personalwirtschaft
67066,Gastgewerbe
67071,Gaststätte
65529,Schule und Gewalt
65550,Unterrichtsbetrieb
65555,Unterrichtsform
65562,Unterrichtsfach
66473,Verschuldung
66481,Kapitalmarkt
66491,Börse
66495,Wertpapierbörse
75571,Motorsport
75580,Formelrennsport
75589,Motorradsport
75596,Pferdesport
75613,Radsport
76441,Virtuelle Realität
76443,Multimedia
76447,Datenträger
76457,Gentechnologie
76467,Umwelt
76471,Umweltpolitik
67080,Restaurant
67089,Schnellgastronomie
67102,Cafe
67108,Nachtclub
67112,Hotel
68030,Elektronisches Spiel
68061,Dressur
68062,Freizeiteinrichtung
68068,Freizeitpark
68082,Erholungsgebiet
68088,Gesellschaft und Soziales
66524,Rentenmarkt
66529,Terminbörse
67495,Landwirtschaft
67502,Agrarpolitik
67507,Agrarverband
67511,Landwirtschaftsbetrieb
67519,Staatlicher Landwirtschaftsbetrieb
67523,Landwirtschaftlicher Beruf
67527,Alternative Landwirtschaft
67536,Agrarmarkt
67541,Landwirtschaftsschau
67543,Ackerbau und Pflanzenbau
68455,Binnenwanderung
68460,Auswanderung
68463,Aussiedler
68465,Einwanderung
68466,Arbeitsmigration
68472,Verbannung
76483,Umweltorganisation
76493,Umweltkonferenz
68923,Spätantike
68927,Mittelalter
68931,Frühmittelalter
68937,Hochmittelalter
68943,Kreuzzüge
68946,Spätmittelalter
68948,Neuzeit
68951,Zeitalter der Entdeckungen
68956,Zeitalter des Absolutismus
68961,Zeitalter Französische Revolution und Napoleon
68967,Zeitalter der Restauration und Revolution
66119,Personalabbau
66123,Personalbeschaffung
66129,Betriebliche Sozialpolitik
66131,Betriebliche Altersversorgung
66137,Betriebsverfassung
66146,Arbeit
66150,Selbstständige Erwerbstätigkeit
66156,Geringfügige Beschäftigung
66159,Heimarbeit
68475,Flucht
68480,Flüchtlingsbetreuung
68491,Raumordnung
68498,Stadt
68506,Städtebau
65587,Schulabschluss
65593,Hochschule
65610,Hochschulpolitik
65616,Hochschulorganisation
65623,Hochschulpersonal
65632,Hochschulzulassung
65638,Studium
66534,Währung
66541,Landeswährung
75629,Straßenradrennsport
75636,Rollsport
75643,Schachspiel
75654,Tanzsport
75673,Tiersport
75677,Turnen
76301,Messgerät
76311,Mikrotechnik
76313,Elektrotechnik
76314,Elektronik
76318,Unterhaltungselektronik
75146,Judentum
75166,Jüdische Mystik
75169,Islam
75182,Islamische Glaubensgemeinschaft
75185,Bahai
75186,Zoroastrismus
75187,Buddhismus
76010,Bauelement
76027,Bauzustand
66166,Unbezahlte Arbeit
66170,Zwangsarbeit
66172,Arbeitsverhältnis
67126,Ferienwohnung
67129,Jugendherberge
67131,Campingplatz
67145,Tourismuspolitik
67148,Tourismus-Infrastruktur
67151,Ferienort
67161,Tourismusorganisation
67166,Reisen
68091,Gesellschaftsordnung
68095,Herrschaft
68104,Sozialer Gegensatz
68108,Gesellschaftsform
68116,Soziale Gliederung
66560,Devisenmarkt
66565,Währungspolitik
66567,Währungssystem
66572,Währungsunion
66583,Bankgeschäft
66591,Notenbank
67548,Düngung
67551,Pflanzenschutz
67561,Ernte
67567,Gartenbau
67571,Garten
67576,Gartenschau
67579,Pflanzenbau
67583,Getreidebau
67603,Obstbau
76331,Bild- und Tonträger
76340,Rundfunkgerät
76343,Informationstechnologie
76356,Telekommunikationsnetz
75234,Sport
75235,Sportler
75240,Sportwissenschaft
75249,Doping
75260,Sport und Gewalt
68130,Gesellschaft und Individuum
68133,Personenkult
68142,Gesellschaftliche Interessen
68143,Stiftung
65238,Aspekt Ausstellung
65239,Aspekt Überblick
65242,Aspekt Vergleich
65243,Aspekt Geschlecht
65250,Aspekt Geschichte
65251,Aspekt Reform
65252,Aspekt Kuriosität
65253,Aspekt Allgemeines
65254,Aspekt Stellungnahme
65257,Aspekt Affäre
65258,Aspekt Auszeichnung
65261,Aspekt Recht
65265,Aspekt Veranstaltung
65273,Aspekt Wissenschaft
65277,Aspekt Experte
65278,Biographie
65282,Lebensabschnitt
65290,Persönlichkeit
66175,Arbeitsvertrag
66191,Tarifpolitik
68515,Stadtteil
68517,Stadtkern
68522,Wohngebiet
68525,Vorort
68528,Geschlechter
68538,Frau
68549,Frauenemanzipation
68554,Frauenorganisation
68555,Frauenpolitik
68564,Mann
65658,Hochschulabschluss
65669,Studentenschaft
65681,Student und Politik
65686,Erwachsenenbildung
75682,Gymnastik
75687,Wassersport
75694,Bootsport
75704,Motorbootsport
75707,Rudersport
75713,Schwimmsport
75725,Wasserspringen
75730,Eissport
66197,Schlichtung
66201,Streik
66212,Lohn und Gehalt
66229,Lohnpolitik
66231,Lohnhöhe
67196,Gesundheitstourismus
67200,Bildungstourismus
67204,Tourismusgewerbe
67209,Reisebuchung
67215,Informationswirtschaft
67220,Informationsvermittlung
67225,Digitale Wirtschaft
67226,Internetunternehmen
67230,Internethandel
67235,Konsumgüterindustrie
67236,Möbelindustrie
67239,Lebensmittelwirtschaft
68152,Interessenorganisation
68158,Verein
65693,2. Bildungsweg
65699,Volkshochschule
65700,Altenbildung
66599,Kreditinstitut
66612,Bausparkasse
66615,Öffentliche Finanzen
66617,Öffentlicher Haushalt
66621,Haushaltspolitik
66627,Haushaltsbilanz
66630,Staatsverschuldung
66636,Staatseinnahme
66637,Steuer
66644,Steuerschuld
75736,Eishockey
76432,Programmierung
76046,Baustelle
68165,Interessenverband
68166,Vetternwirtschaft
68168,Gewalt
68172,Gesellschaftliches Bewusstsein
68180,Gesellschaftliche Werte
68195,Rassismus
68199,Antisemitismus
68205,Ideologie
68206,Soziale Lage
68207,Einkommensverteilung
68210,Lebensstandard
65319,Persönliche Fähigkeit
65323,Persönliches Verhalten
65330,Fehlverhalten
65334,Persönliche Vermögensverhältnisse
